Movie Name,Genre,Rating,Votes,Duration
Horizon: An American Saga - Chapter 2,Unknown,7.0,1700.0,Unknown
Red One,Unknown,6.2,158000.0,Unknown
Freaky Tales,Unknown,6.2,17000.0,Unknown
The Strangers: Chapter 1,Unknown,4.7,28000.0,Unknown
Snack Shack,Unknown,7.0,16000.0,Unknown
Upgraded,Unknown,6.1,33000.0,Unknown
The Killer's Game,Unknown,5.8,21000.0,Unknown
Elevation,Unknown,5.6,30000.0,Unknown
Hunting Matthew Nichols,Unknown,8.1,100000.0,Unknown
Queer,Unknown,6.3,29000.0,Unknown
Dear Santa,Unknown,5.4,22000.0,Unknown
Immaculate,Unknown,5.8,60000.0,Unknown
Nightbitch,Unknown,5.5,24000.0,Unknown
Mahavatar Narsimha,Unknown,8.5,46000.0,Unknown
A Different Man,Unknown,6.9,37000.0,Unknown
The Luckiest Man in America,Unknown,6.2,7700.0,Unknown
Afternoons of Solitude,Unknown,7.1,1700.0,Unknown
Here,Unknown,6.3,27000.0,Unknown
Old Guy,Unknown,5.3,5900.0,Unknown
The Friend,Unknown,6.4,6800.0,Unknown
Exhuma,Unknown,6.9,28000.0,Unknown
Night Swim,Unknown,4.7,32000.0,Unknown
The Return,Unknown,6.3,14000.0,Unknown
Salem's Lot,Unknown,5.6,40000.0,Unknown
Uma Musume: Pretty Derby - Beginning of a New Era,Unknown,7.7,683000.0,Unknown
Homestead,Unknown,5.2,5200.0,Unknown
My Old Ass,Unknown,6.9,47000.0,Unknown
Sasquatch Sunset,Unknown,5.4,6100.0,Unknown
Boong,Unknown,7.5,220000.0,Unknown
Emilia Pérez,Unknown,5.3,112000.0,Unknown
Better Man,Unknown,7.5,44000.0,Unknown
Monster Summer,Unknown,5.7,7200.0,Unknown
The Penguin Lessons,Unknown,7.1,11000.0,Unknown
Mean Girls,Unknown,5.5,41000.0,Unknown
Back to Black,Unknown,6.3,30000.0,Unknown
How to Make a Killing,Unknown,6.5,3100.0,Unknown
Paddington in Peru,Unknown,6.6,34000.0,Unknown
Miller's Girl,Unknown,5.2,27000.0,Unknown
Nickel Boys,Unknown,6.9,24000.0,Unknown
Amber Alert,Unknown,6.1,7800.0,Unknown
Saturday Night,Unknown,6.9,38000.0,Unknown
The Six Triple Eight,Unknown,6.7,31000.0,Unknown
All of You,Unknown,6.3,9000.0,Unknown
Nr. 24,Unknown,7.5,20000.0,Unknown
Long Distance,Unknown,5.7,6400.0,Unknown
Maria,Unknown,6.4,25000.0,Unknown
Girls Will Be Girls,Unknown,7.0,3400.0,Unknown
The Empire,Unknown,5.2,1600.0,Unknown
Damaged,Unknown,4.7,9000.0,Unknown
Emmanuelle,Unknown,4.1,3100.0,Unknown
Rust,Unknown,5.7,4800.0,Unknown
No Chains No Masters,Unknown,6.3,867000.0,Unknown
Attack on Titan the Movie: The Last Attack,Unknown,9.2,25000.0,Unknown
Ricky Stanicky,Unknown,6.2,61000.0,Unknown
