Movie Name,Rating,Votes,Duration
Sasquatch Sunset,5.4,6100.0,Unknown
Boong,7.5,220000.0,Unknown
Emilia Pérez,5.3,112000.0,Unknown
Better Man,7.5,44000.0,Unknown
Monster Summer,5.7,7200.0,Unknown
The Penguin Lessons,7.1,11000.0,Unknown
Mean Girls,5.5,41000.0,Unknown
Back to Black,6.3,30000.0,Unknown
How to Make a Killing,6.5,3100.0,Unknown
Paddington in Peru,6.6,34000.0,Unknown
Miller's Girl,5.2,27000.0,Unknown
Nickel Boys,6.9,24000.0,Unknown
Amber Alert,6.1,7800.0,Unknown
Saturday Night,6.9,38000.0,Unknown
The Six Triple Eight,6.7,31000.0,Unknown
All of You,6.3,9000.0,Unknown
Nr. 24,7.5,20000.0,Unknown
Long Distance,5.7,6400.0,Unknown
Maria,6.4,25000.0,Unknown
Girls Will Be Girls,7.0,3400.0,Unknown
The Empire,5.2,1600.0,Unknown
Damaged,4.7,9000.0,Unknown
Emmanuelle,4.1,3100.0,Unknown
Rust,5.7,4800.0,Unknown
No Chains No Masters,6.3,867000.0,Unknown
Attack on Titan the Movie: The Last Attack,9.2,25000.0,Unknown
Ricky Stanicky,6.2,61000.0,Unknown
Boneyard,4.2,6100.0,Unknown
Monkey Man,6.8,99000.0,Unknown
My Dead Friend Zoe,6.5,3900.0,Unknown
Brothers,5.4,15000.0,Unknown
Memoir of a Snail,7.8,25000.0,Unknown
Thelma,7.0,27000.0,Unknown
William Tell,5.7,7400.0,Unknown
40 Acres,6.5,6200.0,Unknown
Sidelined: The QB and Me,5.8,5800.0,Unknown
Riff Raff,5.7,8500.0,Unknown
The Room Next Door,6.8,27000.0,Unknown
Arcadian,5.5,27000.0,Unknown
The Union,5.5,58000.0,Unknown
No Other Land,8.2,34000.0,Unknown
King Ivory,6.2,1200.0,Unknown
The Outrun,6.9,22000.0,Unknown
Drive-Away Dolls,5.4,28000.0,Unknown
The Seed of the Sacred Fig,7.5,19000.0,Unknown
The Crow,4.7,41000.0,Unknown
The Shrouds,5.7,8600.0,Unknown
Blitz,6.2,18000.0,Unknown
Mothers' Instinct,6.3,24000.0,Unknown
Bird,7.0,12000.0,Unknown
The Salt Path,6.6,6600.0,Unknown
Empire Waist,6.2,552000.0,Unknown
Bob Trevino Likes It,7.4,7200.0,Unknown
Atlas,5.6,59000.0,Unknown
The Girl with the Needle,7.5,20000.0,Unknown
The Wonderful Story of Henry Sugar and Three More,7.1,12000.0,Unknown
Familiar Touch,7.1,1300.0,Unknown
Uglies,4.7,37000.0,Unknown
Hellboy: The Crooked Man,4.5,17000.0,Unknown
The Rule of Jenny Pen,6.1,11000.0,Unknown
Beverly Hills Cop: Axel F,6.4,87000.0,Unknown
Your Monster,6.4,8200.0,Unknown
Look Back,7.8,21000.0,Unknown
Red Right Hand,5.5,6700.0,Unknown
The Last Showgirl,6.5,21000.0,Unknown
The Unholy Trinity,5.5,6100.0,Unknown
Lift,5.6,52000.0,Unknown
Young Hearts,7.9,8400.0,Unknown
Kneecap,7.6,24000.0,Unknown
Solo Leveling: ReAwakening,8.7,17000.0,Unknown
Four Letters of Love,6.0,1200.0,Unknown
Sketch,6.6,5700.0,Unknown
Arthur the King,7.0,38000.0,Unknown
The Surfer,5.9,20000.0,Unknown
MadS,6.3,12000.0,Unknown
Apartment 7A,5.9,20000.0,Unknown
The First Omen,6.5,71000.0,Unknown
U Are the Universe,7.9,4300.0,Unknown
A Family Affair,5.4,40000.0,Unknown
Greedy People,6.2,15000.0,Unknown
Don't Let's Go to the Dogs Tonight,6.9,1200.0,Unknown
Kill Em All 2,4.1,1600.0,Unknown
Cuckoo,5.7,33000.0,Unknown
Incoming,5.8,16000.0,Unknown
Turtles All the Way Down,6.6,8700.0,Unknown
Zero,4.9,213000.0,Unknown
How to Make Millions Before Grandma Dies,7.9,21000.0,Unknown
Young Woman and the Sea,7.5,20000.0,Unknown
Rebel Moon - Part Two: The Scargiver,5.3,63000.0,Unknown
Y2K,4.7,20000.0,Unknown
Souleymane's Story,7.6,6600.0,Unknown
Lucky Baskhar,8.0,41000.0,Unknown
My Spy: The Eternal City,5.7,12000.0,Unknown
Joy,7.1,12000.0,Unknown
Barron's Cove,6.0,1800.0,Unknown
Hard Truths,7.2,8900.0,Unknown
Absolution,5.2,11000.0,Unknown
Sheepdog,6.4,207000.0,Unknown
Secret Mall Apartment,7.0,2700.0,Unknown
The Forge,6.8,5900.0,Unknown
Lowlifes,6.2,7700.0,Unknown
Daddy's Head,5.6,6500.0,Unknown
Love Me Dead,4.0,175000.0,Unknown
Meiyazhagan,8.5,22000.0,Unknown
A Sacrifice,5.0,7300.0,Unknown
Lisa Frankenstein,6.1,32000.0,Unknown
The Backrooms,8.5,49000.0,Unknown
The Deliverance,5.1,25000.0,Unknown
Kalki 2898 AD,7.0,75000.0,Unknown
Bring Them Down,6.4,5800.0,Unknown
Survive,4.6,4500.0,Unknown
A Nice Indian Boy,7.3,7400.0,Unknown
Unstoppable,6.8,5200.0,Unknown
The Exorcism,4.2,13000.0,Unknown
Spin the Bottle,3.6,1700.0,Unknown
Azrael,5.3,14000.0,Unknown
Billy Preston: That's the Way God Planned It,8.6,46000.0,Unknown
Reagan,6.2,13000.0,Unknown
The Silent Hour,6.1,10000.0,Unknown
The Platform 2,4.9,46000.0,Unknown
Time Cut,5.1,22000.0,Unknown
The Thinking Game,7.6,1600.0,Unknown
Spellbound,5.5,8900.0,Unknown
Winter Spring Summer or Fall,6.1,5800.0,Unknown
Descendants: The Rise of Red,4.7,8100.0,Unknown
The Damned,5.7,8300.0,Unknown
Killer Heat,5.6,15000.0,Unknown
Cloud,6.5,4300.0,Unknown
Anaconda,4.8,1300.0,Unknown
Wallace & Gromit: Vengeance Most Fowl,7.5,41000.0,Unknown
Suncoast,6.7,8200.0,Unknown
Bob Marley: One Love,6.2,39000.0,Unknown
Harold and the Purple Crayon,5.7,10000.0,Unknown
Lilies Not for Me,7.1,1600.0,Unknown
All We Imagine as Light,7.1,14000.0,Unknown
Spermageddon,5.4,3700.0,Unknown
Dìdi,7.3,16000.0,Unknown
Jackpot!,5.8,34000.0,Unknown
Undercover,7.1,6000.0,Unknown
V/H/S/Beyond,5.8,12000.0,Unknown
Consumed,3.7,926000.0,Unknown
Hijack 1971,6.8,4100.0,Unknown
The Tearsmith,5.2,14000.0,Unknown
Magpie,6.3,4800.0,Unknown
Bramayugam,7.7,17000.0,Unknown
